Alt + isert           coplfnm новый класс
Alt + shift + click   множественный курсор


Ctrl + w              выделение
Ctrl + Y              удалить строку
Ctrl + d              копия строки
Ctrl + Shift + o      обновить maven
Ctrl + F2             остановить выполнение программы
Ctrl + F6             изменить метод
Ctrl + F8             метка debug

Ctrl + Alt + a        под контроль GIT
Ctrl + Alt + o        удалить неисп. import
Ctrl + Alt + t        обернуть выделенный код в if ....
Ctrl + Alt + m        выделенный блок кода в отдельный метод!!!!!!!
Ctrl + Alt + v        выделенное выражение в отдельную переменную!!!
Ctrl + Alt + f        из локальной переменной сделать переменную объекта!!!
Ctrl + Alt + с        из переменной в константу с большими буквами
Ctrl + Alt + p        добавить в параметр метода и вынести в константу

Ctrl + Shift + v      история буфера обмена


Shift + F6            переименовать переменную или метод  или все и во всем приложении

Alt + f               menu File

wind + t              переход в нижнюю панель задач браузера
wint + пробел + с     свернуть текущее окно
